name,value,degree
製造業,123669.24,top
卸売・小売業,61950.78,top
（民間）サービス業,50933.93,top
建設業,37553.12,top
不動産業,31597.59,top
農林水産業,11593.17,bottom
（対家計民間非営利）サービス業,5484.04,bottom
（民間）電気・ガス・水道業,4255.64,bottom
鉱業,2639.65,bottom
（政府）電気・ガス・水道業,1083.10,bottom
