name,value,degree
卸売業,67737.29,top
対事業所サービス,52066.01,top
電気機械,29510.05,top
通信業,25781.62,top
（民間）公共サービス,18343.66,top
不動産業,-26458.18,bottom
農林水業,-30166.32,bottom
金融・保険業,-62031.54,bottom
建設業,-91514.92,bottom
製造業,-143283.82,bottom
