name,value,degree
製造業,67777.80,top
卸売・小売業,29858.55,top
建設業,26966.10,top
運輸・通信業,18422.95,top
不動産業,16456.40,140000,top
（対家計民間非営利）サービス業,4178.80,bottom
（民間）電気・ガス・水道業,4151.45,bottom
（政府）電気・ガス・水道業,747.40,bottom
鉱業,-444.05,bottom
（民間）サービス業,-5933.85,bottom
