name,value,degree
卸売・小売業,12.03,top
鉱    業,9.32,top
（対家計民間非営利）教育,6.32,top
（民間）電気・ガス・水道業,4.68,top
（政府）電気・ガス・水道業,4.46,top
不動産業,-4.21,bottom
製造業,-10.87,bottom
金融・保険業,-17.84,bottom
建設業,-17.86,bottom
農林水業,-24.32,bottom
