name,value,degree
（政府）電気・ガス・水道業,188.73,top
（民間）サービス業,153,top
建設業,120.83,top
（対家計民間非営利）サービス業,118.92,top
卸売・小売業,105.33,top
製造業,76.83,bottom
鉱業,71.92,bottom
運輸・通信業,63.56,bottom
（民間）電気・ガス・水道業,33.61,bottom
農林水産業,28.26,bottom
